Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
01 Andalucía;Gasto medio diario por persona;Tasa de variación anual;2023M10;9,17
01 Andalucía;Gasto medio diario por persona;Tasa de variación anual;2023M09;7,87
01 Andalucía;Gasto medio diario por persona;Tasa de variación anual;2023M08;8,88
01 Andalucía;Gasto medio diario por persona;Tasa de variación anual;2023M07;20,81
01 Andalucía;Gasto medio diario por persona;Tasa de variación anual;2023M06;16,91
01 Andalucía;Gasto medio diario por persona;Tasa de variación anual;2023M05;10,31
01 Andalucía;Gasto medio diario por persona;Tasa de variación anual;2023M04;16,94
01 Andalucía;Gasto medio diario por persona;Tasa de variación anual;2023M03;16,25
01 Andalucía;Gasto medio diario por persona;Tasa de variación anual;2023M02;13,27
01 Andalucía;Gasto medio diario por persona;Tasa de variación anual;2023M01;28,23
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M12;154
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M11;156
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M10;156
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M09;154
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M08;152
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M07;152
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M06;148
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M05;143
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M04;138
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M03;133
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M02;127
01 Andalucía;Gasto medio diario por persona;Acumulado en lo que va de año;2023M01;124
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M12;12,29
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M11;12,90
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M10;13,10
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M09;13,65
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M08;14,36
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M07;15,85
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M06;14,72
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M05;14,67
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M04;17,02
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M03;17,48
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M02;19,85
01 Andalucía;Gasto medio diario por persona;Tasa de variación acumulada;2023M01;28,23
01 Andalucía;Duración media de los viajes;Dato base;2023M12;11,26
01 Andalucía;Duración media de los viajes;Dato base;2023M11;8,27
01 Andalucía;Duración media de los viajes;Dato base;2023M10;7,31
01 Andalucía;Duración media de los viajes;Dato base;2023M09;7,41
01 Andalucía;Duración media de los viajes;Dato base;2023M08;8,66
01 Andalucía;Duración media de los viajes;Dato base;2023M07;8,27
01 Andalucía;Duración media de los viajes;Dato base;2023M06;7,28
01 Andalucía;Duración media de los viajes;Dato base;2023M05;7,45
01 Andalucía;Duración media de los viajes;Dato base;2023M04;7,75
01 Andalucía;Duración media de los viajes;Dato base;2023M03;8,60
01 Andalucía;Duración media de los viajes;Dato base;2023M02;9,13
01 Andalucía;Duración media de los viajes;Dato base;2023M01;9,59
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M12;1,78
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M11;-7,71
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M10;-5,99
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M09;5,55
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M08;-5,26
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M07;-14,21
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M06;-9,68
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M05;-3,15
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M04;-8,27
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M03;-13,66
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M02;-6,54
01 Andalucía;Duración media de los viajes;Tasa de variación anual;2023M01;-20,37
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M12;8,18
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M11;8,02
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M10;8,00
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M09;8,09
